Age,Debt,Married,BankCustomer,EducationLevel,YearEmployed,PriorDefault,Employed,CreditScore,DriversLicense,Citizen,Income,Approved
47.17,5.835,u,g,w,5.5,f,f,0,f,g,150,Not_Approved
23.0,11.75,u,g,x,0.5,t,t,2,t,g,551,Approved
,0.5,u,g,c,0.835,t,f,0,t,s,0,Not_Approved
47.0,13.0,u,g,i,5.165,t,t,9,t,g,0,Approved
41.0,2.04,y,p,q,0.125,t,t,23,t,g,1236,Approved
22.5,11.5,y,p,m,1.5,f,f,0,t,g,4000,Not_Approved
41.42,5.0,u,g,q,5.0,t,t,6,t,g,0,Approved
28.42,3.5,u,g,w,0.835,t,f,0,f,s,0,Approved
26.75,4.5,y,p,c,2.5,f,f,0,f,g,1210,Not_Approved
33.08,1.625,u,g,d,0.54,f,f,0,t,g,0,Not_Approved
23.33,11.625,y,p,w,0.835,t,f,0,t,g,300,Approved
38.25,6.0,u,g,k,1.0,t,f,0,t,g,0,Approved
23.0,1.835,u,g,j,0.0,f,t,1,f,g,53,Not_Approved
25.67,3.25,u,g,c,2.29,f,t,1,t,g,21,Not_Approved
21.83,11.0,u,g,x,0.29,t,t,6,f,g,0,Approved
16.08,0.335,u,g,ff,0.0,f,t,1,f,g,126,Not_Approved
27.67,1.5,u,g,m,2.0,t,f,0,f,s,0,Not_Approved
56.83,4.25,y,p,ff,5.0,f,f,0,t,g,4,Not_Approved
25.08,1.71,u,g,x,1.665,t,t,1,t,g,20,Approved
67.75,5.5,u,g,e,13.0,t,t,1,t,g,0,Approved
34.75,15.0,u,g,r,5.375,t,t,9,t,g,134,Approved
29.5,0.46,u,g,k,0.54,t,t,4,f,g,500,Approved
18.42,9.25,u,g,q,1.21,t,t,4,f,g,540,Approved
46.67,0.46,u,g,cc,0.415,t,t,11,t,g,6,Approved
24.5,1.04,y,p,ff,0.5,t,t,3,f,g,147,Not_Approved
19.17,5.415,u,g,i,0.29,f,f,0,f,g,484,Not_Approved
20.17,9.25,u,g,c,1.665,t,t,3,t,g,28,Approved
42.0,9.79,u,g,x,7.96,t,t,8,f,g,0,Approved
35.58,0.75,u,g,k,1.5,f,f,0,t,g,0,Not_Approved
23.58,0.835,u,g,i,0.085,f,f,0,t,g,5,Not_Approved
48.17,7.625,u,g,w,15.5,t,t,12,f,g,790,Approved
15.83,0.585,u,g,c,1.5,t,t,2,f,g,0,Approved
21.75,1.75,y,p,j,0.0,f,f,0,f,g,0,Not_Approved
17.5,22.0,l,gg,ff,0.0,f,f,0,t,p,100000,Approved
39.92,6.21,u,g,q,0.04,t,t,1,f,g,300,Approved
,0.625,u,g,k,0.25,f,f,0,f,g,2010,Not_Approved
32.33,2.5,u,g,c,1.25,f,f,0,t,g,0,Not_Approved
50.08,12.54,u,g,aa,2.29,t,t,3,t,g,0,Approved
18.17,2.46,u,g,c,0.96,f,t,2,t,g,587,Not_Approved
32.75,1.5,u,g,cc,5.5,t,t,3,t,g,0,Approved
19.17,0.0,y,p,m,0.0,f,f,0,t,s,1,Approved
33.75,0.75,u,g,k,1.0,t,t,3,t,g,0,Not_Approved
21.83,0.25,u,g,d,0.665,t,f,0,t,g,0,Approved
21.75,11.75,u,g,c,0.25,f,f,0,t,g,0,Not_Approved
42.25,1.75,y,p,,0.0,f,f,0,t,g,1,Not_Approved
33.5,1.75,u,g,x,4.5,t,t,4,t,g,857,Approved
32.17,1.46,u,g,w,1.085,t,t,16,f,g,2079,Approved
21.0,3.0,y,p,d,1.085,t,t,8,t,g,1,Approved
40.33,7.54,y,p,q,8.0,t,t,14,f,g,2300,Approved
19.33,10.915,u,g,c,0.585,f,t,2,t,g,7,Not_Approved
26.25,1.54,u,g,w,0.125,f,f,0,f,g,0,Not_Approved
23.58,1.79,u,g,c,0.54,f,f,0,t,g,1,Not_Approved
36.67,2.0,u,g,i,0.25,f,f,0,t,g,0,Not_Approved
34.83,2.5,y,p,w,3.0,f,f,0,f,s,0,Not_Approved
19.67,0.375,u,g,q,2.0,t,t,2,t,g,0,Approved
26.92,13.5,u,g,q,5.0,t,t,2,f,g,5000,Approved
41.92,0.42,u,g,c,0.21,t,t,6,f,g,948,Approved
22.08,0.83,u,g,c,2.165,f,f,0,t,g,0,Approved
28.92,15.0,u,g,c,5.335,t,t,11,f,g,2283,Approved
33.58,0.335,y,p,cc,0.085,f,f,0,f,g,0,Not_Approved
56.75,12.25,u,g,m,1.25,t,t,4,t,g,0,Approved
22.92,11.585,u,g,cc,0.04,t,f,0,f,g,1349,Approved
19.67,10.0,y,p,k,0.835,t,f,0,t,g,0,Not_Approved
21.17,0.25,y,p,c,0.25,f,f,0,f,g,204,Not_Approved
34.17,1.54,u,g,cc,1.54,t,t,1,t,g,50000,Approved
28.75,1.5,y,p,c,1.5,t,f,0,t,g,225,Not_Approved
23.75,0.71,u,g,w,0.25,f,t,1,t,g,4,Not_Approved
17.92,0.205,u,g,aa,0.04,f,f,0,f,g,750,Not_Approved
31.67,0.83,u,g,x,1.335,t,t,8,t,g,3290,Approved
36.5,4.25,u,g,q,3.5,f,f,0,f,g,50,Not_Approved
26.17,12.5,y,p,k,1.25,f,f,0,t,g,17,Not_Approved
34.17,5.25,u,g,w,0.085,f,f,0,t,g,6,Approved
16.33,2.75,u,g,aa,0.665,f,t,1,f,g,21,Not_Approved
34.83,1.25,y,p,i,0.5,f,f,0,t,g,0,Not_Approved
57.42,8.5,u,g,e,7.0,t,t,3,f,g,0,Approved
38.58,5.0,u,g,cc,13.5,t,f,0,t,g,0,Not_Approved
51.42,0.04,u,g,x,0.04,t,f,0,f,g,3000,Approved
51.33,10.0,u,g,i,0.0,t,t,11,f,g,1249,Approved
32.42,2.165,y,p,k,0.0,f,f,0,f,g,0,Not_Approved
28.5,3.04,y,p,x,2.54,t,t,1,f,g,0,Approved
25.0,12.0,u,g,k,2.25,t,t,2,t,g,5,Not_Approved
24.5,2.415,y,p,c,0.0,f,f,0,f,g,0,Not_Approved
24.58,0.67,u,g,aa,1.75,t,f,0,f,g,0,Not_Approved
28.25,5.125,u,g,x,4.75,t,t,2,f,g,7,Approved
25.0,0.875,u,g,x,1.04,t,f,0,t,g,5860,Approved
23.58,0.46,y,p,w,2.625,t,t,6,t,g,347,Not_Approved
47.67,2.5,u,g,m,2.5,t,t,12,t,g,2510,Approved
29.17,3.5,u,g,w,3.5,t,t,3,t,g,0,Not_Approved
27.83,1.54,u,g,w,3.75,t,t,5,t,g,3,Approved
