PERID,GENDER,COUNTRY_OF_BIRTH,NATIONALITY,AGE,AGE_GROUPING,MARITAL_STATUS,RANK_GRADE,RANK_GROUPING,YEARS_IN_GRADE,EMPLOYEE_GROUP,PARENT_SERVICE,SERVICE_SUB_AREA,SERVICE_TYPE,YEARS_OF_SERVICE,VOC,UNIT,NO_OF_KIDS,MIN_CHILD_AGE,AVE_CHILD_AGE,HSP_ESTABLISHMENT,HSP_CERTIFICATE,HSP_CERT_RANK,HSP_CERT_DESC,UPGRADED_LAST_3_YRS,UPGRADED_CERT_3_YRS,UPGRADED_CERT_DESC_3_YRS,MARRIED_WITHIN_2_YEARS,DIVORCE_WITHIN_2_YEARS,DIVORCE_REMARRIED_WITHIN_2_YEARS,PROMO_LAST_5_YRS,PROMO_LAST_4_YRS,PROMO_LAST_3_YRS,PROMO_LAST_2_YRS,PROMO_LAST_1_YR,UNIT_CHG_LAST_3_YRS,UNIT_CHG_LAST_2_YRS,UNIT_CHG_LAST_1_YR,AWARDS_RECEIVED,HOUSING_TYPE,HOUSING_GROUP,HOUSING_RANK,PREV_HOUSING_TYPE,MOVE_HOUSE_T_2,HOUSE_UPG_DGRD,IPPT_SCORE,PES_SCORE,HOMETOWORKDIST,SVC_INJURY_TYPE,TOT_PERC_INC_LAST_1_YR,BAS_PERC_INC_LAST_1_YR,RESIGNED
10000002,Male,Singapore,Singaporean,47,40 and Above,Marr.,RANK 22,MIDDLE ME,2,MILITARY REGULARS,SERVICE B,SERVICE B,MDES,16.75,VOCATION 18,UNIT 157,2.0,17.0,18.5,Diploma,Diploma,6.0,TECHNICIAN DIPLOMA IN MECHANICAL ENGINEERING,NO,NONE,NONE,NO,NO,NO,1.0,1.0,0.0,0.0,0.0,YES,NO,NO,1.0,4-ROOM,PUBLIC,4.0,EXECUTIVE,YES,-2.0,1.0,3.0,7.17,0.0,-8.451437253,-15.07541308,1
10000004,Male,Singapore,Singaporean,52,40 and Above,Marr.,RANK 23,MIDDLE ME,3,MILITARY REGULARS,SERVICE B,SERVICE B,MDES,34.58333333,VOCATION 12,UNIT 273,1.0,16.0,16.0,Secondary,GCE 'O' Level,4.0,GCE 'O' LEVEL,NO,NONE,NONE,NO,NO,NO,0.0,0.0,0.0,0.0,0.0,NO,NO,NO,7.0,PRIVATE NON-LANDED,PRIVATE,7.0,NONE,NO,0.0,1.0,4.0,5.22,0.0,-20.21329895,13.76169759,0
10000008,Male,Singapore,Singaporean,54,40 and Above,Marr.,RANK 22,MIDDLE ME,3,MILITARY REGULARS,SERVICE D,SERVICE C,MDES,33.33333333,VOCATION 59,UNIT 185,2.0,26.0,26.5,Technical Education,ITE/Poly Certificate,5.0,MAINTENANCE FITTING,NO,NONE,NONE,NO,NO,NO,0.0,0.0,0.0,0.0,0.0,NO,NO,NO,2.0,3-ROOM,PUBLIC,3.0,PRIVATE NON-LANDED,YES,-4.0,3.0,1.0,17.23960153,0.0,-12.09059405,6.887772041,0
10000009,Male,Singapore,Singaporean,42,40 and Above,Marr.,RANK 22,MIDDLE ME,3,MILITARY REGULARS,SERVICE A,SERVICE A,MDES,23.16666667,VOCATION 236,UNIT 345,2.0,10.0,13.0,Secondary,GCE 'O' Level,4.0,GCE 'O' LEVEL,NO,NONE,NONE,NO,NO,NO,1.0,1.0,0.0,0.0,0.0,YES,YES,NO,3.0,EXECUTIVE,PUBLIC,6.0,NONE,NO,0.0,0.0,3.0,15.59,0.0,-13.67287185,7.4590218329999995,0
10000010,Male,Singapore,Singaporean,44,40 and Above,Marr.,RANK 17,MIDDLE OFFICER,5,MILITARY REGULARS,SERVICE A,SERVICE A,PS (Mil),22.0,VOCATION 198,UNIT 326,1.0,13.0,13.0,University,Master,10.0,MASTER OF SCIENCE IN ENGINEERING SCIENCE,NO,NONE,NONE,NO,NO,NO,0.0,0.0,0.0,0.0,0.0,NO,NO,NO,2.0,PRIVATE NON-LANDED,PRIVATE,7.0,NONE,NO,0.0,1.0,3.0,13.63,0.0,-12.93448945,6.945134437999999,0
10000013,Male,Singapore,Singaporean,42,40 and Above,Single,RANK 22,MIDDLE ME,3,MILITARY REGULARS,SERVICE A,SERVICE A,MDES,20.91666667,VOCATION 236,UNIT 265,0.0,0.0,0.0,Diploma,Diploma,6.0,DIPLOMA IN MECHANICAL ENGINEERING,YES,Diploma,SPECIALIST DIPLOMA IN LEARNING SCIENCE,NO,NO,NO,1.0,0.0,0.0,0.0,0.0,YES,YES,YES,1.0,4-ROOM,PUBLIC,4.0,NONE,NO,0.0,0.0,3.0,17.23960153,1.0,-15.17482586,6.679464225,0
10000014,Male,Singapore,Singaporean,41,40 and Above,Marr.,RANK 38,SENIOR OFFICER,1,MILITARY REGULARS,SERVICE A,SERVICE A,SAVER-EOS,22.66666667,VOCATION 203,UNIT 257,3.0,10.0,11.0,University,Honours Degree,9.0,BACHELOR OF SCIENCE (FIRST CLASS HONOURS),NO,NONE,NONE,NO,NO,NO,1.0,1.0,1.0,1.0,0.0,YES,YES,YES,4.0,5-ROOM,PUBLIC,5.0,NONE,NO,0.0,0.0,3.0,28.03,0.0,-16.22250266,9.486130464,0
10000015,Male,Singapore,Singaporean,40,36 to 40,Marr.,RANK 38,SENIOR OFFICER,1,MILITARY REGULARS,SERVICE B,SERVICE B,SAVER-EOS,21.33333333,VOCATION 252,UNIT 273,1.0,0.0,0.0,University,Pass Degree,8.0,BACHELOR OF BUSINESS (MERIT),NO,NONE,NONE,NO,NO,NO,1.0,1.0,1.0,1.0,0.0,YES,YES,NO,4.0,PRIVATE NON-LANDED,PRIVATE,7.0,NONE,NO,0.0,2.0,5.0,18.05,0.0,-8.695512791,8.782021383,0
10000016,Male,Singapore,Singaporean,40,36 to 40,Single,RANK 10,SENIOR OFFICER,1,MILITARY REGULARS,SERVICE E,SERVICE C,SAVER-EOS,19.91666667,VOCATION 121,UNIT 333,0.0,0.0,0.0,University,Honours Degree,9.0,BACHELOR OF SCIENCE (FIRST CLASS HONOURS),NO,NONE,NONE,NO,NO,NO,2.0,2.0,2.0,1.0,0.0,YES,YES,YES,4.0,4-ROOM,PUBLIC,4.0,NONE,NO,0.0,3.0,5.0,27.63,0.0,-14.49565526,11.63866434,0
10000018,Male,Singapore,Singaporean,40,36 to 40,Marr.,RANK 27,SENIOR ME,0,MILITARY REGULARS,SERVICE A,SERVICE A,MDES,19.08333333,VOCATION 234,UNIT 336,2.0,12.0,13.0,Diploma,Diploma,6.0,DIPLOMA IN MARINE ENGINEERING,NO,NONE,NONE,NO,NO,NO,1.0,1.0,1.0,1.0,1.0,YES,YES,YES,2.0,5-ROOM,PUBLIC,5.0,NONE,NO,0.0,2.0,5.0,16.28,0.0,-19.70968209,5.707364401,0
